analysis_group,SPECIES_CD,YEAR,tl_abd,se_tl_abd,Ball_abd,se_Ball_abd,Dall_abd,se_Dall_abd,Ball_prev,percent_Bprev,Dall_prev,percent_Dprev
MIR_GRP,ACR CERV,2024,14453.173375,39.632563474,0,0,0,0,0,0,0,0
MIR_GRP,ACR PALM,2024,0,0,0,0,0,0,,,,
MIR_GRP,AGA AGAR,2024,130781.46988,82.727282356,59660.586124,55.459777984,0,0,0.4561853157,45.618531569,0,0
MIR_GRP,COL NATA,2024,50850.980392,54.885910329,0,0,0,0,0,0,0,0
MIR_GRP,DIC STOK,2024,28158.630031,37.752183318,3599.7807018,9.816590007,0,0,0.1278393408,12.783934083,0,0
MIR_GRP,DIP LABY,2024,16200.980392,24.577441433,0,0,0,0,0,0,0,0
MIR_GRP,EUS FAST,2024,16284.829721,21.869685196,9970.5882353,18.034516554,0,0,0.6122623574,61.226235743,0,0
MIR_GRP,MEA MEAN,2024,1328.9473684,4.78976286,0,0,0,0,0,0,0,0
MIR_GRP,MON CAVE,2024,223608.37555,188.70224275,30976.30289,40.908528551,3620.6140351,9.8895368631,0.1385292604,13.852926043,0.016191764,1.6191763954
MIR_GRP,ORB ANNU,2024,132189.73168,111.34130237,14352.941176,24.477484931,0,0,0.1085783366,10.857833656,0,0
MIR_GRP,ORB FAVE,2024,136239.1594,104.32832283,15947.574819,22.269078297,0,0,0.1170557341,11.705573412,0,0
MIR_GRP,POR ASTR,2024,1740344.9632,1077.1196635,511555.83075,370.87822923,7305.1470588,20.994154937,0.293939329,29.393932902,0.0041975282,0.4197528199
MIR_GRP,POR PORI,2024,346455.32531,205.89125234,149345.07224,127.53817789,0,0,0.4310658874,43.106588737,0,0
MIR_GRP,PSE CLIV,2024,3986.8421053,8.0687786121,1328.9473684,4.78976286,0,0,0.3333333333,33.333333332,0,0
MIR_GRP,PSE STRI,2024,14629.927761,24.146186329,9325.9803922,21.400878418,0,0,0.6374590869,63.745908692,0,0
MIR_GRP,SID RADI,2024,109746.35402,67.386380728,50905.427338,44.868385509,2492.6470588,9.4573802674,0.4638461823,46.384618234,0.0227128006,2.2712800631
MIR_GRP,SID SIDE,2024,1562212.3452,415.97916823,388381.67394,232.43556466,19547.574819,34.353370583,0.2486100402,24.86100402,0.0125127515,1.251275147
MIR_GRP,STE INTE,2024,154471.29304,117.0325355,67795.57299,79.058389923,4064.3939394,10.865136619,0.4388878455,43.888784547,0.0263116457,2.631164574
NCRMP_GRP,ACR CERV,2024,409054.52062,1228.9406754,0,0,0,0,0,0,0,0
NCRMP_GRP,ACR PALM,2024,0,0,0,0,0,0,,,,
NCRMP_GRP,AGA AGAR,2024,15595472.063,8651.6490477,5593194.2794,4588.2795797,0,0,0.3586421916,35.864219158,0,0
NCRMP_GRP,COL NATA,2024,3730408.6734,3067.2909138,300570.7314,583.76087599,0,0,0.0805731376,8.0573137614,0,0
NCRMP_GRP,DIC STOK,2024,8863486.2915,4505.4308249,842463.04705,1102.206094,166774.19355,472.96570463,0.0950487223,9.5048722291,0.0188158686,1.8815868617
NCRMP_GRP,DIP LABY,2024,5452146.48,3867.5384748,704175.36586,1311.2457174,0,0,0.1291556213,12.915562127,0,0
NCRMP_GRP,EUS FAST,2024,5421929.7556,4113.3363942,1549241.8796,2009.5196114,0,0,0.2857362506,28.573625064,0,0
NCRMP_GRP,MEA MEAN,2024,665935.36622,809.5773274,130819.67213,366.21564322,0,0,0.1964449987,19.644499867,0,0
NCRMP_GRP,MON CAVE,2024,42054179.411,14751.108187,6297417.2779,5195.2573858,138711.00917,389.80893478,0.1497453372,14.974533723,0.0032983882,0.3298388201
NCRMP_GRP,ORB ANNU,2024,5666045.9718,7671.8499909,2901904.4343,5156.484994,0,0,0.5121568813,51.215688131,0,0
NCRMP_GRP,ORB FAVE,2024,11600152.62,7906.7608685,2025490.9888,3224.3071781,69355.504587,276.92156696,0.1746089948,17.460899483,0.0059788441,0.5978844146
NCRMP_GRP,POR ASTR,2024,98909218.975,30087.93564,17174515.633,9676.7211318,362012.57529,1147.8140217,0.1736391796,17.363917955,0.0036600489,0.3660048871
NCRMP_GRP,POR PORI,2024,30638011.783,16361.160384,6360064.1082,4254.6614926,214485.20272,493.47296115,0.2075873641,20.758736413,0.0070006241,0.7000624069
NCRMP_GRP,PSE CLIV,2024,1992895.8189,1909.4898508,926664.10184,1494.4439535,0,0,0.4649837152,46.498371518,0,0
NCRMP_GRP,PSE STRI,2024,3530578.2679,2631.7425225,766827.64096,1322.9718707,0,0,0.2171960463,21.719604631,0,0
NCRMP_GRP,SID RADI,2024,21937191.111,8947.9682469,9203911.0074,5833.1600545,69355.504587,276.92156696,0.4195574065,41.955740645,0.003161549,0.3161548999
NCRMP_GRP,SID SIDE,2024,369195598.32,68437.673306,81181479.363,34412.976215,11506598.905,5948.5008234,0.2198874519,21.988745189,0.0311666741,3.1166674135
NCRMP_GRP,STE INTE,2024,108013901.29,34766.47697,19845898.018,12536.266468,4808642.7568,4366.3496476,0.1837346655,18.373466545,0.0445187397,4.4518739712
