analysis_group,SPECIES_CD,n,PVbar,YEAR,SE_PV,cv_PV,PV_LCI,PV_UCI,PV_type
MIR_GRP,ACR CERV,98,0.0145698005,2022,0.1013117196,6.9535419692,-0.186644019,0.2157836205,Bleach_all
MIR_GRP,ACR PALM,98,0,2022,0,,0,0,Bleach_all
MIR_GRP,AGA AGAR,98,0.6139230761,2022,0.0337015579,0.0548954082,0.5469888732,0.6808572791,Bleach_all
MIR_GRP,COL NATA,98,0.5643311163,2022,0.1238307714,0.2194292815,0.3183925157,0.810269717,Bleach_all
MIR_GRP,DIC STOK,98,0,2022,0,,0,0,Bleach_all
MIR_GRP,DIP LABY,98,0.1291546199,2022,0.1040863872,0.8059052572,-0.077569929,0.3358791693,Bleach_all
MIR_GRP,EUS FAST,98,0,2022,0,,0,0,Bleach_all
MIR_GRP,MEA MEAN,98,0,2022,0,,0,0,Bleach_all
MIR_GRP,MON CAVE,98,0.3219508688,2022,0.0884414731,0.2747048749,0.1462984691,0.4976032685,Bleach_all
MIR_GRP,ORB ANNU,98,0.2954749378,2022,0.167960355,0.5684419674,-0.038108825,0.6290587006,Bleach_all
MIR_GRP,ORB FAVE,98,0.088751702,2022,0.0332610168,0.3747648331,0.0226924517,0.1548109524,Bleach_all
MIR_GRP,POR ASTR,98,0.0455805037,2022,0.0306638473,0.672740421,-0.015320544,0.1064815512,Bleach_all
MIR_GRP,POR PORI,98,0.3653498638,2022,0.0680061187,0.1861397128,0.230283842,0.5004158856,Bleach_all
MIR_GRP,PSE CLIV,98,0.2595515526,2022,0.0898910104,0.3463320081,0.0810202468,0.4380828584,Bleach_all
MIR_GRP,PSE STRI,98,0.0594254481,2022,0.0243996367,0.4105923896,0.0109656634,0.1078852327,Bleach_all
MIR_GRP,SID RADI,98,0.1732201237,2022,0.1078814638,0.6227998312,-0.041041775,0.3874820228,Bleach_all
MIR_GRP,SID SIDE,98,0.1242574305,2022,0.031008078,0.2495470723,0.0626727111,0.1858421499,Bleach_all
MIR_GRP,STE INTE,98,0.0600388952,2022,0.0820196125,1.3661079577,-0.102859135,0.2229369254,Bleach_all
NCRMP_GRP,ACR CERV,243,0,2022,0,,0,0,Bleach_all
NCRMP_GRP,ACR PALM,243,,2022,0,,,,Bleach_all
NCRMP_GRP,AGA AGAR,243,0.7489738545,2022,0.0488125179,0.0651725258,0.6528120222,0.8451356867,Bleach_all
NCRMP_GRP,COL NATA,243,0.1383689978,2022,0.0594327052,0.4295232754,0.0212851417,0.255452854,Bleach_all
NCRMP_GRP,DIC STOK,243,0.0406882897,2022,0.0193934805,0.4766354305,0.0024826675,0.0788939118,Bleach_all
NCRMP_GRP,DIP LABY,243,0.1723110906,2022,0.1531504707,0.8888021669,-0.129399014,0.4740211951,Bleach_all
NCRMP_GRP,EUS FAST,243,0.2062055294,2022,0.0997845452,0.4839081935,0.0096275795,0.4027834794,Bleach_all
NCRMP_GRP,MEA MEAN,243,0.1988340284,2022,0.0897940225,0.4516028929,0.0219376482,0.3757304087,Bleach_all
NCRMP_GRP,MON CAVE,243,0.1605035136,2022,0.0438465402,0.2731811862,0.0741247766,0.2468822506,Bleach_all
NCRMP_GRP,ORB ANNU,243,0.1873164344,2022,0.0807860783,0.4312813157,0.0281659205,0.3464669483,Bleach_all
NCRMP_GRP,ORB FAVE,243,0.1244443316,2022,0.0327082603,0.2628344725,0.0600082736,0.1888803896,Bleach_all
NCRMP_GRP,POR ASTR,243,0.0866563841,2022,0.0231795516,0.2674881009,0.0409921109,0.1323206573,Bleach_all
NCRMP_GRP,POR PORI,243,0.2535024704,2022,0.047439827,0.1871375332,0.1600448722,0.3469600685,Bleach_all
NCRMP_GRP,PSE CLIV,243,0.0325283591,2022,0.0132473019,0.4072539252,0.0064308562,0.058625862,Bleach_all
NCRMP_GRP,PSE STRI,243,0.2449351029,2022,0.1052694589,0.4297851049,0.0375517413,0.4523184645,Bleach_all
NCRMP_GRP,SID RADI,243,0.2564680665,2022,0.0674407787,0.2629597503,0.1236081131,0.3893280198,Bleach_all
NCRMP_GRP,SID SIDE,243,0.215818402,2022,0.0502743625,0.2329475244,0.1167767008,0.3148601032,Bleach_all
NCRMP_GRP,STE INTE,243,0.1317206038,2022,0.0516350786,0.3920045695,0.0299982592,0.2334429483,Bleach_all
