analysis_group,SPECIES_CD,n,PVbar,YEAR,SE_PV,cv_PV,PV_LCI,PV_UCI,PV_type
MIR_GRP,ACR CERV,98,0.0359577926,2022,0.0079045354,0.2198281611,0.0202587029,0.0516568822,Disease_all
MIR_GRP,ACR PALM,98,0,2022,0,,0,0,Disease_all
MIR_GRP,AGA AGAR,98,0,2022,0,,0,0,Disease_all
MIR_GRP,COL NATA,98,0,2022,0,,0,0,Disease_all
MIR_GRP,DIC STOK,98,0,2022,0,,0,0,Disease_all
MIR_GRP,DIP LABY,98,0,2022,0,,0,0,Disease_all
MIR_GRP,EUS FAST,98,0,2022,0,,0,0,Disease_all
MIR_GRP,MEA MEAN,98,0,2022,0,,0,0,Disease_all
MIR_GRP,MON CAVE,98,0.0237966887,2022,0.0492332827,2.0689131718,-0.07398486,0.1215782377,Disease_all
MIR_GRP,ORB ANNU,98,0.0084722914,2022,0.0033120391,0.3909260158,0.0018942958,0.015050287,Disease_all
MIR_GRP,ORB FAVE,98,0.0716579431,2022,0.0394670143,0.5507695668,-0.006726954,0.1500428401,Disease_all
MIR_GRP,POR ASTR,98,0.0036803664,2022,0.0011841763,0.3217549958,0.0013284901,0.0060322427,Disease_all
MIR_GRP,POR PORI,98,0.0050215552,2022,0.0033123169,0.6596197252,-0.001556992,0.0116001025,Disease_all
MIR_GRP,PSE CLIV,98,0,2022,0,,0,0,Disease_all
MIR_GRP,PSE STRI,98,0,2022,0,,0,0,Disease_all
MIR_GRP,SID RADI,98,0,2022,0,,0,0,Disease_all
MIR_GRP,SID SIDE,98,0.0193112262,2022,0.0095210475,0.4930317439,0.000401604,0.0382208485,Disease_all
MIR_GRP,STE INTE,98,0.0488354939,2022,0.0234086695,0.4793372119,0.0023438557,0.095327132,Disease_all
NCRMP_GRP,ACR CERV,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,ACR PALM,243,,2022,0,,,,Disease_all
NCRMP_GRP,AGA AGAR,243,0.0151451983,2022,0.0447945932,2.9576762463,-0.073101226,0.1033916224,Disease_all
NCRMP_GRP,COL NATA,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,DIC STOK,243,0.009120561,2022,0.0099372998,1.0895491749,-0.010456158,0.0286972802,Disease_all
NCRMP_GRP,DIP LABY,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,EUS FAST,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,MEA MEAN,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,MON CAVE,243,0.0016588731,2022,0.00208193,1.2550266929,-0.002442579,0.0057603251,Disease_all
NCRMP_GRP,ORB ANNU,243,0.0508899457,2022,0.033034995,0.6491458087,-0.014189788,0.115969679,Disease_all
NCRMP_GRP,ORB FAVE,243,0.0149168624,2022,0.0049720167,0.3333151811,0.0051218701,0.0247118546,Disease_all
NCRMP_GRP,POR ASTR,243,0.0025849584,2022,0.000905971,0.3504779821,0.0008001738,0.004369743,Disease_all
NCRMP_GRP,POR PORI,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,PSE CLIV,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,PSE STRI,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,SID RADI,243,0.0141204545,2022,0.0073810726,0.5227220287,-0.000420436,0.0286613449,Disease_all
NCRMP_GRP,SID SIDE,243,0.0524307581,2022,0.0086913855,0.1657688318,0.0353085199,0.0695529963,Disease_all
NCRMP_GRP,STE INTE,243,0.0596704774,2022,0.013195581,0.2211408646,0.0336748661,0.0856660887,Disease_all
